date,time,Diameter,Depth

1,2023-12-03-10:13:35,3063,11087
1,2023-12-03-10:13:40,3024,11087
1,2023-12-03-10:13:44,3001,11087
1,2023-12-03-10:13:50,3027,11087
1,2023-12-03-10:13:55,3058,11087
1,2023-12-03-10:13:59,3120,11087
1,2023-12-03-10:14:05,3066,11087
1,2023-12-03-10:14:10,3037,11087
1,2023-12-03-10:14:14,2991,11087
1,2023-12-03-10:14:20,3050,11087
1,2023-12-03-10:14:25,3116,11087
1,2023-12-03-10:14:30,3070,11087
1,2023-12-03-10:39:36,3055,11087
1,2023-12-03-10:39:41,3067,11087
1,2023-12-03-10:39:46,3119,11087
1,2023-12-03-10:39:51,3052,11087
1,2023-12-03-10:39:56,3020,11087
1,2023-12-03-10:40:00,2994,11087
1,2023-12-03-10:40:58,3020,11087
1,2023-12-03-10:41:04,3025,11087
1,2023-12-03-10:41:08,3125,11087
1,2023-12-03-10:41:14,3068,11087
1,2023-12-03-10:41:18,3031,11087
1,2023-12-03-10:41:24,3012,11087
